nomor;mxid_cmp_d3d1;lq45_cmp_d3d1;hsce_cmp_d3d1;usd_cmp_d3d1;mxidlarge_cmp_d3d1;mxidfin_cmp_d3d1;klse_cmp_d3d1;masiaem_cmp_d3d1;mxidscl_cmp_d3d1;mxapj_cmp_d3d1;kospi_cmp_d3d1;mxidmid_cmp_d3d1;yenidr_cmp_d3d1;set_cmp_d3d1;djia_cmp_d3d1;mxasj_cmp_d3d1;gbpidr_cmp_d3d1;as51_cmp_d3d1;mxap_cmp_d3d1;mxwd_cmp_d3d1;sp500_cmp_d3d1;hsi_cmp_d3d1;twse_cmp_d3d1;smi_cmp_d3d1;as30_cmp_d3d1;cac40_cmp_d3d1;msciw_cmp_d3d1;ftse_cmp_d3d1;nikkei225_cmp_d3d1;msciem_cmp_d3d1;ibex_cmp_d3d1;omx_cmp_d3d1;stoxx_cmp_d3d1;nasdaq_cmp_d3d1;topix_cmp_d3d1;dax_cmp_d3d1;pcomp_cmp_d3d1;nifty_cmp_d3d1;euro_cmp_d3d1;sensex_cmp_d3d1;yen_cmp_d3d1;dxy_cmp_d3d1;xaud_cmp_d3d1;pounds_cmp_d3d1;wti_cmp_d3d1;szcomp_cmp_d3d1;brent_cmp_d3d1;cpo_cmp_d3d1;shcomp_cmp_d3d1;Tekanan
1;4.829672473;4.265288015;6.725396421;-0.04229926;4.082617912;0.315549069;3.534477832;8.580347437;0.884922753;4.177320881;-0.095724573;2.299381546;-1.164757661;3.865736168;-4.407402793;5.549192647;0.541802035;-0.381685375;0.898042475;-2.006590067;-4.476479593;2.476562294;0.002969848;-2.976709118;-0.576634871;-2.853360715;-2.409558895;-2.413301174;1.039366761;3.8365386;-3.353527654;-0.131438713;-3.169002515;-3.436034175;0.42028583;-4.064020274;0.557213781;10.90112071;-2.466656187;11.22411632;1.125692733;-1.426338934;-2.917456214;-0.982096711;-3.429571325;3.731258973;-4.30330634;-2.383859038;3.625762484;0
2;0.322563519;-0.00392541;-0.814054122;1.334349239;-1.312792891;-0.739861789;0.484893683;3.722649571;-1.013356308;-1.11397412;0.0009323;-4.106592574;-0.27729868;-3.400727468;-2.908013124;-0.597589558;3.743278018;-3.200695894;-4.093216807;-4.001500234;-4.25482079;-6.501972404;-0.019310676;-5.169801236;-3.179729607;-8.022807219;-4.236189505;-5.713896541;-2.095809921;0.765671569;-6.635177656;-5.729951486;-7.382587932;-3.861944447;-4.078669937;-6.550975312;0.104729763;7.743290653;-2.181233538;7.018136043;1.629863445;-1.437088567;-2.776282853;-1.569606356;-2.675617299;3.527791831;-5.33070205;-2.719140328;3.158223118;0
3;-2.981941185;-3.026359457;-8.549582569;1.553712445;-1.927678202;-5.946803178;-1.693247716;-5.207017845;-2.463570311;-6.12986649;-9.275623695;-2.833616836;-0.223233852;-11.07577126;2.350215669;-7.11969331;3.003027267;-2.987857474;-7.416213633;-2.521785604;0.440278278;-11.19027575;2.020488772;0.25386915;-3.077724105;-3.89605436;-2.581396186;-3.337949149;-4.428918892;-2.954245189;0.097574446;0.072431463;-3.491632156;-4.523538028;-6.290708859;-1.772463923;-3.476409449;-1.250855498;-0.278494053;-1.119523179;1.852400493;0.051499943;-0.466769439;-0.745783591;-2.986103176;4.35827245;-3.301008794;0.189757585;4.074983534;0
4;2.448327994;1.56930134;1.919628277;2.07390965;2.149538106;1.975772797;3.96370697;-0.820912865;1.758142788;0.623404266;-0.495217067;3.831269676;-1.081971722;-2.841065431;3.458049938;-0.826357488;1.58999721;4.662599985;-0.397995827;1.903045035;2.587615319;0.1925126;0.930710718;3.346079183;3.665596503;2.340434361;1.930855756;-0.271199181;1.562897052;1.40957629;1.454318741;5.316027502;2.778040353;0.991565735;1.705320149;5.993559342;3.127749264;-1.393978335;-0.193721838;-1.266707519;1.616330839;0.266547508;1.209169664;-0.207561776;3.592652055;5.876053836;3.687847804;-0.848299424;4.863640284;1
5;-0.245142879;-0.521316992;3.737461668;-0.015496746;-2.000609186;3.505669698;6.101220021;1.692456445;2.35051459;2.670607192;-0.504047874;0.463319751;-0.820939536;3.763125585;2.679465092;2.330246646;-0.318131865;2.849729142;2.466444802;2.481467617;1.951137469;3.763139926;2.509732208;2.087037982;2.651507059;2.431280751;2.536565615;1.274826709;2.802416453;3.098212769;-0.072176591;-0.030651684;3.437059983;3.111704772;2.896587793;6.659065097;0.935818797;0.46536636;0.337038894;1.285226571;0.464662479;0.021238916;0.568260923;-0.053134199;6.094571407;-1.056612047;5.056169131;-1.260625278;-1.791065553;1
6;-2.112143976;-1.230554537;-3.431187705;-1.065265655;-4.036844646;-0.880167665;5.289683872;0.784257787;0.63433824;0.005954191;-2.942339928;-0.247550438;-0.106335692;1.167769794;0.453501135;0.389907608;-0.529498091;-2.620119548;-0.867053643;0.382647084;0.867999391;-1.577856478;1.978896788;0.24793242;-2.162381648;0.322420652;0.272262797;0.133893309;-0.059682833;2.025184905;-0.742058782;0.477087078;0.474442059;1.013611708;-1.282824103;0.890789541;-2.691223524;3.164072535;0.895238208;2.805393306;0.175435396;0.444769774;0.379008442;0.066479599;3.628920616;-3.493803831;1.288631879;-0.484638859;-3.696149094;0
7;0.175315441;0.522562209;-3.97996306;-1.576389883;-2.647472964;-1.261314727;6.78538796;0.331560377;-1.262983006;0.597257537;-0.853354099;1.996861713;-0.481643237;3.183963885;1.537071823;0.185913807;0.143475472;0.863631855;0.763113052;1.965146183;2.279553942;-1.017021169;-1.393628039;0.946259225;0.848701946;3.791838008;1.880311491;1.908104931;1.487796535;2.932876262;3.022420211;2.229576224;3.858495377;5.527758613;-0.648884109;3.593347434;0.02784502;-0.081643681;1.862772193;-0.376904835;0.113885522;1.151016517;0.573965043;0.870724467;6.595289419;-1.837015691;2.490506227;-0.392221483;-2.036510633;0
8;1.498666234;3.514629979;-2.614893561;0.630590402;-0.266051424;0.852899352;7.138748377;2.951474734;-1.7097281;1.243427318;3.26896463;5.010086242;1.485117331;4.05139035;-0.127914197;1.473113084;-0.864259519;1.391009578;2.586005868;1.365228343;-0.00461875;-0.240871177;2.250357239;0.865683795;1.409233171;3.718354053;1.169735329;2.156902785;3.216386395;3.283204275;3.308514185;4.117339503;4.207457999;-0.108231098;1.598385489;4.452666407;0.532799268;-0.461432522;1.435198113;-0.78170691;-1.283891907;0.791845187;0.364267177;0.75041919;-0.149947612;0.625826798;2.643661202;2.352573869;0.79053442;1
9;-0.761185098;-0.432638575;-1.434712402;2.169613241;2.796901959;-1.067684928;2.302596875;2.12496838;-2.425585027;0.975344123;3.534597627;-1.285921787;1.338476838;2.010382354;-1.388980856;0.963613035;-0.048883832;0.558341052;1.069673415;-0.746894058;-0.649358229;1.619162079;2.504690161;-1.68821137;0.675782496;-2.007932886;-0.66288384;-2.320359738;1.358756958;1.386436167;-1.074622189;-0.306392418;-1.337587831;1.623984085;1.082793195;-1.3548434;-1.477392675;-1.060084298;-0.259721193;0.040823772;-0.201054607;0.131136655;1.450939422;-0.458425505;2.94503882;1.793381611;2.168734854;0.773417332;1.257050857;1
10;-7.240823592;-7.788149062;-0.868644035;0.766797741;-2.597717875;-11.43978528;-2.098001808;-2.415130127;-6.067138613;-2.105653301;-4.421530934;-8.217355892;0.797334735;1.951905339;-0.151192294;-2.50214604;1.701675924;-1.282562736;-3.137167776;-1.544381672;-0.086182934;-1.877049672;-1.710366758;-2.441479439;-1.27768401;-3.26789671;-1.436857042;-3.478596831;-2.779974671;-2.300887797;-1.48198716;-2.634236822;-2.285676376;-0.089267745;-3.083287089;-2.208780716;-2.274614703;1.585995064;-0.10373572;1.325320699;0.332666547;-0.152279028;1.536634604;-0.675653955;-0.112646247;1.486333762;0.796972072;-0.518698329;0.645567664;0
